titulo,subtitulo,fecha,url,audience,post_type,tipo_clasificado,metodo_extraccion_usado,body_text,body_length,transcript_text,transcript_length,transcript_source,combined_text,combined_length,media_upload_ids,duracion_media,estado_extraccion,notas
Cantabria revienta el “valor de referencia” cuando el inmueble está hecho polvo,¡La mejor Newsletter sobre Fiscalidad e Inversión Inmobiliaria!,2026-01-21T09:52:25.605Z,https://fiscalizarte.substack.com/p/cantabria-revienta-el-valor-de-referencia,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
#Actualización 2: Reto 35.000€: el mercado me ha dado la razón (de momento),¡La mejor Newsletter sobre Fiscalidad e Inversión Inmobiliaria!,2026-01-21T07:57:52.436Z,https://fiscalizarte.substack.com/p/actualizacion-2-reto-35000-el-mercado,everyone,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
#Clase 25: 100% IRPF en alquiler: la letra pequeña que te interesa de verdad.,,2026-01-15T17:01:13.763Z,https://fiscalizarte.substack.com/p/clase-25-100-irpf-en-alquiler-la,only_paid,podcast,video_o_podcast_principal_con_transcripcion_substack,body_html + videoUpload.extractedAudio.transcription,,0,,0,substack_video,,0,cb45e346-05bf-4b76-92ac-0d59f5c35f9c | 8e232e53-9a70-4aa2-9e99-c7d7d53e3b55,921.76666 | 921.6261,PENDIENTE,Preparado para extracción final
Tú socio vive en Suecia y vais a liquidar: el detalle que decide si tributas en España.,¡La mejor Newsletter sobre Fiscalidad e Inversión Inmobiliaria!,2026-01-14T09:00:49.056Z,https://fiscalizarte.substack.com/p/tu-socio-vive-en-suecia-y-vais-a,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
#Actualización 1: El reto de los 35.000€: primer movimiento (y el más importante),¡La mejor Newsletter sobre Fiscalidad e Inversión Inmobiliaria!,2026-01-12T07:31:58.266Z,https://fiscalizarte.substack.com/p/actualizacion-1-el-reto-de-los-35000,everyone,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
# Clase 4: Analizo una operación de NPL in situ y con documentación real.,Te enseño cómo decido si entro o paso (con documentación real).,2026-01-11T15:19:05.511Z,https://fiscalizarte.substack.com/p/clase-4-analizo-una-operacion-de,only_paid,podcast,video_o_podcast_principal_con_transcripcion_substack,body_html + videoUpload.extractedAudio.transcription,,0,,0,substack_video,,0,ef15a7df-2e82-42e0-9390-6877ba1578a3 | 30785a1b-39e4-4ec6-a729-8e1bb4fd440e,2178.7666 | 2178.6123,PENDIENTE,Preparado para extracción final
He sacado 35.000€ sin vender (y voy a enseñarte el recorrido),220€/mes y un reto: vamos a ver qué pasa!!!,2026-01-07T16:18:16.760Z,https://fiscalizarte.substack.com/p/he-sacado-35000-sin-vender-y-voy,everyone,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
Pagas el 100% de la hipoteca… pero Hacienda solo te deja deducir el 33%.,¡La mejor Newsletter sobre Fiscalidad e Inversión Inmobiliaria!,2026-01-07T08:47:54.863Z,https://fiscalizarte.substack.com/p/pagas-el-100-de-la-hipoteca-pero,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
"🚨 #Clase 24: tres inversores, tres vidas… y una decisión que te puede ahorrar (o costar) mucho dinero",,2026-01-05T17:19:35.970Z,https://fiscalizarte.substack.com/p/clase-24-tres-inversores-tres-vidas,only_paid,podcast,video_o_podcast_principal_con_transcripcion_substack,body_html + videoUpload.extractedAudio.transcription,,0,,0,substack_video,,0,8499ff7a-aab1-4b1d-8d7a-b02b629d9eff | 9242ebf3-e62d-4583-9296-d9c97e5b4e88,2048.6333 | 2048.4963,PENDIENTE,Preparado para extracción final
Herencias y donaciones: el número que Hacienda ya tiene… y tú aún no,,2025-12-31T07:03:13.280Z,https://fiscalizarte.substack.com/p/herencias-y-donaciones-el-numero,only_paid,newsletter,texto_normal,body_html,,0,,0,none,,0,,,PENDIENTE,Preparado para extracción final
