titulo,subtitulo,fecha,url,audience,post_type,tipo_clasificado,metodo_extraccion_previsto,has_body_html,has_video_upload,has_podcast_upload,has_native_video_embed,has_native_audio_embed,has_substack_transcript,transcript_source_candidate,media_upload_ids,duracion_media,estado_revision
La villa en Lombok que parecía una gran inversión… hasta que apareció Hacienda,¡La mejor Newsletter sobre Fiscalidad e Inversión Inmobiliaria!,2026-05-18T06:32:25.249Z,https://fiscalizarte.substack.com/p/la-villa-en-lombok-que-parecia-una,everyone,newsletter,texto_normal,body_html,True,False,False,False,False,False,body_html,,,OK
El error fiscal que veo en el 95% de inversores inmobiliarios.,¡La mejor Newsletter sobre Fiscalidad e Inversión Inmobiliaria!,2026-05-11T07:54:59.231Z,https://fiscalizarte.substack.com/p/el-error-fiscal-que-veo-en-el-95,everyone,newsletter,texto_normal,body_html,True,False,False,False,False,False,body_html,,,OK
#Clase 32: El régimen fiscal que puede ahorrarte una hostia de impuestos al aportar tus inmuebles a una sociedad.,,2026-05-18T15:13:24.320Z,https://fiscalizarte.substack.com/p/clase-32-el-regimen-fiscal-que-puede,only_paid,podcast,video_o_podcast_principal_con_transcripcion_substack,body_html + videoUpload.extractedAudio.transcription,True,True,True,False,False,True,videoUpload.extractedAudio.transcription,34b7f898-a9c1-4d94-bf8d-65f5c1ac418e | 3f366370-2dd9-4775-af7e-5940812f1b5b,1286.9 | 1286.7657,OK
#Clase 31: Cómo leer la contabilidad básica de una sociedad de capital aunque no seas contable.,Lo que gran parte de gestores a los que estás pagando desconocen.,2026-05-04T06:10:29.531Z,https://fiscalizarte.substack.com/p/clase-31-como-leer-la-contabilidad,only_paid,podcast,video_o_podcast_principal_con_transcripcion_substack,body_html + videoUpload.extractedAudio.transcription,True,True,True,False,False,True,videoUpload.extractedAudio.transcription,b99ddd88-9f9d-49c8-af20-16e937e5da89 | 11540fbc-1d31-489d-ba11-792e96b71998,4094.8 | 4094.6677,OK
#Episodio 1: Serrasola Inversiones,Sergio e Iván de Serrasola Inversiones se pasan por Inversores Anónimos.,2025-03-16T08:02:47.069Z,https://fiscalizarte.substack.com/p/episodio-1-serrasola-inversiones,only_paid,podcast,podcast_audio_con_transcripcion_substack,body_html + podcastUpload.transcription,True,False,True,False,False,True,podcastUpload.transcription,e3cb54a3-99f0-410a-aaee-47b1f99bf078,4166.243,OK
"💸 Así he ganado 12.482 € en 6 meses invirtiendo solo 36.000 €. Sin alquilar, sin líos, y pagando menos impuestos",,2025-09-06T08:30:11.525Z,https://fiscalizarte.substack.com/p/asi-he-ganado-12482-en-6-meses-invirtiendo,everyone,newsletter,newsletter_con_video_embebido,body_html + native-video-embed + ASR_local,True,False,False,True,False,False,native_video_embed_local_asr,49380607-42b1-4c9e-96be-0f8e3a110311,,OK
#Clase 15: Cuestiones Comunes a los gastos deducibles.,Aspectos a tener en consideración para no dejarme NADA.,2025-08-10T07:47:41.078Z,https://fiscalizarte.substack.com/p/clase-15-cuestiones-comunes-a-los,only_paid,podcast,podcast_video_sin_transcripcion_substack,body_html + videoUpload + ASR_local,True,True,True,False,False,False,video_upload_local_asr,98ab667f-5858-4419-b295-a7e78310821a | 22e7d61e-137a-4ca3-bc5e-e607dc84039a,631.56665 | 631.4318,OK
